name,contact_person,phone,mobile_alt,email,location,active_listings,qualified,oglasnik_profil,website,status,notes
QUEEN STELA d.o.o.,,+385981310346,+385 976810086 (NOVI),,,105,true,https://www.njuskalo.hr/agencija/queenstela,,Considering,Prvo probaj ALT number ako nece onda Stelu
Vira Nekretnine,,+385 95 845 9894,,info@viranekretnine.hr,Kačićeva ulica 22 10000 - Zagreb,64,true,https://www.nekretnine.hr/agencije-nekretnina/97229/,https://www.viranekretnine.hr,Declined,
SARAS REAL ESTATE d.o.o.,,+3850992222992,,ante.sirovina97@gmail.com,Trnjanska cesta 67 10000 - Zagreb,161,true,https://www.nekretnine.hr/agencije-nekretnina/96653/,https://www.sarasrealestate.hr/,Declined,Ovo je jedini broj sto imaju svuda
Permoveo d.o.o.,,+385 091 631 2007,,info@permoveo-nekretnine.hr,Gradišćanska ulica 30 10000 - Zagreb,10,true,https://www.nekretnine.hr/agencije-nekretnina/94963/,https://permoveo-nekretnine.hr/,Not Contacted,
Viana nekretnine d.o.o.,,+385 099 228 1882,,,Ulica Roberta Frangeša Mihanovića 9 10110 - Zagreb,28,true,https://www.nekretnine.hr/agencije-nekretnina/96583/,,Not Contacted,
LIVE IN,,+385 095 233 8512,,,"Kušlanova ulica, 2, Zagreb Hrvatska, 10000 2 10123 - Zagreb",19,true,https://www.nekretnine.hr/agencije-nekretnina/96471/,https://livein.hr/,Not Contacted,
Alitora,,+385 95 507 1076,,varga@alitora.hr,Horvaćanska cesta 31 10104 - Zagreb,25,true,https://www.nekretnine.hr/agencije-nekretnina/96761/,https://alitora.hr,Not Contacted,
Elian nekretnine,,+385 098 763 665,,,Donje Svetice 79C 10135 - Zagreb,22,true,https://www.nekretnine.hr/agencije-nekretnina/96631/,,Not Contacted,
PBZ card doo,,+385 1 6363 630,,info@pbz-nekretnine.hr,Radnička cesta 42 10000 - Zagreb,42,true,https://www.nekretnine.hr/agencije-nekretnina/94255/,https://www.pbz-nekretnine.hr,Not Contacted,
Com4t Solutions Nekretnine,,+385 95 457 2772,,info@com4tsolutions.hr,"Gornje Padine, 32, Zagreb Hrvatska, 10090 32 10090 - Zagreb",49,true,https://www.nekretnine.hr/agencije-nekretnina/96171/,https://com4tsolutions.hr/,Not Contacted,
La Mar nekretnine,,+385919889576,,,Ulica Nikole Tesle 14/1 10000 - Zagreb,145,true,https://www.nekretnine.hr/agencije-nekretnina/95443/,https://lamar-nekretnine.hr/hr/,Not Contacted,[Was 'Follow Up' in old Notion tracker] Zovemo 16.9.
My Croatia Realestate,,+385912557341,,,,5,false,https://www.njuskalo.hr/agencija/mycroatiarealestate,,Not Contacted,
FAN NEKRETNINE,,+385922711079,,,,20,false,https://www.njuskalo.hr/agencija/agencijazanekretnina,,Not Contacted,
Stan Grad Immobilien,,+385925068233,,,,26,false,https://www.njuskalo.hr/agencija/stan-grad,,Not Contacted,
Lipa Nekretnine,,+385915676716,+385992131301,,,318,false,https://www.njuskalo.hr/agencija/lipanekretnine,,Not Contacted,"Svi telefoni: +385915676716, +385992131301"
LuVano Homes nekretnine,,+385991908686,,,,27,false,https://www.njuskalo.hr/agencija/luvano-homes,,Not Contacted,
Kristal nekretnine d.o.o.,,+385914303300,+385912345607,,,78,false,https://www.njuskalo.hr/agencija/kristal-nekretnine,,Not Contacted,"Svi telefoni: +385914303300, +385912345607"
Victus Nekretnine,,+385951988794,,,,241,false,https://www.njuskalo.hr/agencija/victus-nekretnine,,Not Contacted,
Nelmar Nekretnine,,+385989853115,,,,45,false,https://www.njuskalo.hr/agencija/nelmarnekretnine,,Not Contacted,
Oaza Agencija za promet nekretninama,,+38598419441,,,,60,false,https://www.njuskalo.hr/agencija/oaza-nekretnine,,Not Contacted,
Immobilia,,+385981816005,+385989945825,,,61,false,https://www.njuskalo.hr/agencija/immobilia-pula-nekretnine,,Not Contacted,"Svi telefoni: +385981816005, +385989945825"
Niteo nekretnine,,+385989066393,,,,511,false,https://www.njuskalo.hr/agencija/niteo-nekretnine,,Not Contacted,
EVERIS Reale Estate,,+385915954045,,,,39,false,https://www.njuskalo.hr/agencija/everis-certuminvest,,Not Contacted,
BOILNEKRETNINE,,+385913326190,+385912066770,,,5,false,https://www.njuskalo.hr/agencija/boil-nekretnine,,Not Contacted,"Svi telefoni: +385913326190, +385912066770"
QUART Nekretnine,,+38598374977,,,,18,false,https://www.njuskalo.hr/agencija/quart-nekretnine,,Not Contacted,
Lika nekretnine d.o.o.,,+385953563000,,,,155,false,https://www.njuskalo.hr/agencija/lika-nekretnine,,Not Contacted,
Šimić Dom,,+385989813748,+385981950512,,,545,false,https://www.njuskalo.hr/agencija/simic-dom,,Not Contacted,"Svi telefoni: +385989813748, +385981950512, +385995353827"
MaRiva real estate,,+385958893999,,,,34,false,https://www.njuskalo.hr/agencija/mariva-realestate,,Not Contacted,
Split nekretnine d.o.o.,,+38598287581,+38598472989,,,54,false,https://www.njuskalo.hr/agencija/splitnekretninedoo,,Not Contacted,"Svi telefoni: +38598287581, +38598472989, +38598250886"
Stanoinvest,,+385953957860,,,,575,false,https://www.njuskalo.hr/agencija/stano-invest,,Not Contacted,
IstriaHome nekretnine,,+385915913793,,,,26,false,https://www.njuskalo.hr/agencija/istria-home-nekretnine,,Not Contacted,
ROSATO CONCEPT d.o.o.,,+385918887723,,,,21,false,https://www.njuskalo.hr/agencija/rosato-concept,,Not Contacted,
Erceg Immobilia d.o.o.,,+385989044927,+385981368081,,,49,false,https://www.njuskalo.hr/agencija/ercegimmobilia-agencija,,Not Contacted,"Svi telefoni: +385989044927, +385981368081"
Terram2021,,+385994361600,+385911505505,,,438,false,https://www.njuskalo.hr/agencija/terram2021,,Not Contacted,"Svi telefoni: +385994361600, +385911505505"
MURI Nekretnine,,+385992059616,,,,156,false,https://www.njuskalo.hr/agencija/muri-realestate,,Not Contacted,
ARHITEKTURA DOXAT D.O.O.,,+385955137937,,,,0,false,https://www.njuskalo.hr/agencija/arhitektura-doxat,,Not Contacted,
Leones Real Estate d.o.o.,,+385992842871,,,,156,false,https://www.njuskalo.hr/agencija/leones,,Not Contacted,
MD biro d.o.o.,,+38598326179,,,,42,false,https://www.njuskalo.hr/agencija/md-biro,,Not Contacted,
GORICA-NEKRETNINE Agencija za promet nekretninama,,+385995550106,+385995550110,,,97,false,https://www.njuskalo.hr/agencija/gorica-nekretnine,,Not Contacted,"Svi telefoni: +385995550106, +385995550110, +385915351146"
WENS Nekretnine,,+385913903175,,,,8,false,https://www.njuskalo.hr/agencija/wens-nekretnine,,Not Contacted,
LONDON NEKRETNINE,,+385919083445,+385919537420,,,189,false,https://www.njuskalo.hr/agencija/london-nekretnine,,Not Contacted,"Svi telefoni: +385919083445, +385919537420"
MARKO POLO nekretnine,,+385995204902,+385951151111,,,77,false,https://www.njuskalo.hr/agencija/marko-polo-nekretnine,,Not Contacted,"Svi telefoni: +385995204902, +385951151111, +385952777177"
ZAGREB MAX nekretnine,,+38598607432,,,,86,false,https://www.njuskalo.hr/agencija/zagreb-max-nekretnine,,Not Contacted,
PAPRIKA,,+385953683848,,,,30,false,https://www.njuskalo.hr/agencija/paprika-realestate,,Not Contacted,
Hedonist nekretnine,,+385922215800,,,,68,false,https://www.njuskalo.hr/agencija/hedonist-nekretnine,,Not Contacted,
Dalmacija Nekretnine,,+385915140542,,,,2,false,https://www.njuskalo.hr/agencija/dalmatiaproperty,,Not Contacted,
TONKA NEKRETNINE j.d.o.o.,,+385919373450,,,,10,false,https://www.njuskalo.hr/agencija/tonka-nekretnine,,Not Contacted,
RE/MAX City 2 Samobor,,+385912789999,+385981966835,,,136,false,https://www.njuskalo.hr/agencija/remax-city2,,Not Contacted,"Svi telefoni: +385912789999, +385981966835"
PRIME REAL ESTATE,,+385916399498,,,,139,false,https://www.njuskalo.hr/agencija/iskara345,,Not Contacted,
HOSMAN NEKRETNINE d.o.o.,,+385958717039,,,,122,false,https://www.njuskalo.hr/agencija/hosman-nek,,Not Contacted,
Premium nekretnine,,+385915474709,,,,256,false,https://www.njuskalo.hr/agencija/premium-nekretnine-malinska,,Not Contacted,
Nekretnine Vrhovec,,+385951996617,+385915059592,,,84,false,https://www.njuskalo.hr/agencija/vrhovec-nekretnine,,Not Contacted,"Svi telefoni: +385951996617, +385915059592"
RebeccaRealEstate,,+385993921442,+385993921471,,,5,false,https://www.njuskalo.hr/agencija/rebeccarealestates,,Not Contacted,"Svi telefoni: +385993921442, +385993921471"
